,Date,global_id,AdmArea,District,Longitude_WGS84,Latitude_WGS84,Location,Results,geoData,Rank
3259,01.09.2018,904345273,Северо-Западный административный округ,район Куркино,37.421632,55.877172,"МКАД, 73-й километр, дом 7, строение 1",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.421632, 55.877172]}",0
3260,05.09.2018,904345274,Юго-Восточный административный округ,район Текстильщики,37.736024,55.699558,"улица Юных Ленинцев, дом 3",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.736024, 55.699558]}",0
3261,03.09.2018,904345275,Восточный административный округ,район Богородское,37.719253,55.810152,"Бойцовая улица,дом 6, корпус 4",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.719253, 55.810152]}",0
3262,07.09.2018,904345277,Юго-Восточный административный округ,район Некрасовка,37.930509,55.700644,"улица Недорубова, дом 7",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.930509, 55.700644]}",0
3263,04.09.2018,904345278,Восточный административный округ,район Новогиреево,37.824176,55.754101,"Федеративный проспект, дом 33",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.824176, 55.754101]}",0
3264,04.09.2018,904345279,Северо-Западный административный округ,район Покровское-Стрешнево,37.415954,55.824754,"Летная улица, владение 99, строение 3",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.415954, 55.824754]}",0
3265,09.09.2018,904345280,Юго-Восточный административный округ,район Некрасовка,37.936160,55.701836,"улица Недорубова, дом 18, корпус 2",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.93616, 55.701836]}",0
3266,03.09.2018,904345282,Северо-Западный административный округ,район Строгино,37.439293,55.803828,"Строгинское шоссе, владение 1А",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.439293, 55.803828]}",0
3267,01.09.2018,904345284,Северный административный округ,район Аэропорт,37.534325,55.805169,"Черняховского ул., дом 9, корпус 2",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.534325, 55.805169]}",0
3268,05.09.2018,904345286,Восточный административный округ,район Соколиная Гора,37.733159,55.791835,"Мироновская улица, дом 46",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.733159, 55.791835]}",0
3269,11.09.2018,904345287,Юго-Восточный административный округ,Нижегородский район,37.719316,55.729483,"Нижегородская улица, дом 90, корпус 2",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.719316, 55.729483]}",0
3270,02.09.2018,904345582,Северный административный округ,район Восточное Дегунино,37.550441,55.880228,"улица 800-летия Москвы, дом 3, корпус 2",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.550441, 55.880228]}",0
3271,11.09.2018,904345290,Юго-Восточный административный округ,район Лефортово,37.720465,55.743421,"Авиамоторная улица, дом 34, корпус 1",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.720465, 55.743421]}",0
3272,11.09.2018,904345291,Юго-Восточный административный округ,район Текстильщики,37.730661,55.718887,"Грайвороновская улица, дом 10, корпус 1",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.730661, 55.718887]}",0
3273,06.09.2018,904345292,Северо-Западный административный округ,район Митино,37.352695,55.835235,"Волоцкой переулок, дом 7, корпус 1",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.352695, 55.835235]}",0
3274,02.09.2018,904345293,Северо-Восточный административный округ,район Лианозово,37.570671,55.891835,"улица Илимская, дом 2",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.570671, 55.891835]}",0
3275,11.09.2018,904345294,Юго-Восточный административный округ,Рязанский район,37.771005,55.723886,"Луховицкая улица, дом 4",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.771005, 55.723886]}",0
3276,02.09.2018,904345295,Северо-Восточный административный округ,район Отрадное,37.612919,55.877733,Юрловский проезд дом 14 корпус 1,Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.612919, 55.877733]}",0
