"ID";"Date";"global_id";"AdmArea";"District";"Longitude_WGS84";"Latitude_WGS84";"Location";"Results";"geoData";
"204";"12.04.2016";"272437724";"Центральный административный округ";"Таганский район";"37.687605";"55.741075";"Рабочая улица, дом 37";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.";"{type=Point, coordinates=[37.687604999838, 55.741074999956]}";
"205";"12.04.2016";"272437725";"Центральный административный округ";"район Замоскворечье";"37.637263";"55.733726";"улица Бахрушина, дом 21-23, строение 5";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.";"{type=Point, coordinates=[37.637262999888, 55.733726000072]}";
"206";"04.04.2016";"272437726";"Северо-Восточный административный округ";"район Ростокино";"37.643848";"55.836736";"Сельскохозяйственная улица, дом 16, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.";"{type=Point, coordinates=[37.643848000365, 55.836735999871]}";
"207";"04.04.2016";"272437728";"Северо-Восточный административный округ";"Останкинский район";"37.622998";"55.824951";"1-я Останкинская улица, дом 25";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.";"{type=Point, coordinates=[37.622998000212, 55.824951000074]}";
"208";"05.04.2016";"272437729";"Северо-Восточный административный округ";"район Южное Медведково";"37.621669";"55.879329";"Молодцова улица, дом 33, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.";"{type=Point, coordinates=[37.621669000242, 55.879329000081]}";
"209";"08.04.2016";"272437730";"Северный административный округ";"Тимирязевский район";"37.566359";"55.812884";"Тимирязевская улица, дом 19";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.";"{type=Point, coordinates=[37.566358999665, 55.812883999799]}";
"210";"12.04.2016";"272437731";"Северо-Западный административный округ";"район Южное Тушино";"37.439212";"55.839825";"Сходненская улица, дом 6, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.";"{type=Point, coordinates=[37.439211999628, 55.839825000127]}";
"211";"11.04.2016";"272437732";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"37.472593";"55.769160";"Карамышевская набережная, дом 34";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.";"{type=Point, coordinates=[37.472593000327, 55.769160000183]}";
"212";"18.04.2016";"272437733";"Северный административный округ";"Головинский район";"37.524615";"55.844870";"2-ой Лихачевский переулок, дом 4";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.";"{type=Point, coordinates=[37.524614999878, 55.844869999767]}";
"213";"21.04.2016";"272437734";"Северо-Восточный административный округ";"район Свиблово";"37.636356";"55.849731";"Лазоревый проезд, дом 6";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.";"{type=Point, coordinates=[37.636355999691, 55.849730999968]}";
"214";"25.04.2016";"272437735";"Северо-Западный административный округ";"район Покровское-Стрешнево";"37.446794";"55.827257";"Вишневая улица, дом 2/14";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.";"{type=Point, coordinates=[37.446793999815, 55.827256999982]}";
"215";"27.04.2016";"272437736";"Северо-Западный административный округ";"район Строгино";"37.400674";"55.811032";"Маршала Катукова улица, дом 4, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.";"{type=Point, coordinates=[37.400673999953, 55.811032000231]}";
"216";"29.04.2016";"272437737";"Северный административный округ";"район Западное Дегунино";"37.507906";"55.879329";"Базовская улица, дом 15, корп 4";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.";"{type=Point, coordinates=[37.507905999623, 55.879329000081]}";
"217";"12.04.2016";"272437739";"Западный административный округ";"район Дорогомилово";"37.551665";"55.739906";"Киевская улица, дом 25";"По отдельным веществам в атмосферном воздухе выявлены повышенные максимальные разовые концентрации загрязняющих веществ.";"{type=Point, coordinates=[37.551664999644, 55.739906000208]}";
"218";"13.04.2016";"272437740";"Новомосковский административный округ";"поселение Московский";"37.371302";"55.588279";"город Московский, Радужная улица, дом 14, корпус 5";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.";"{type=Point, coordinates=[37.371301999806, 55.588278999753]}";
"219";"14.04.2016";"272437742";"Западный административный округ";"район Раменки";"37.518560";"55.688507";"проспект Вернадского, дом 10, корпус 2";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.";"{type=Point, coordinates=[37.518560000028, 55.688506999827]}";
"220";"15.04.2016";"272438092";"Западный административный округ";"район Раменки";"37.520589";"55.728280";"2-й Мосфильмовский переулок, дом 21";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.";"{type=Point, coordinates=[37.520588999607, 55.728280000094]}";
"221";"15.04.2016";"272437744";"Западный административный округ";"район Ново-Переделкино";"37.348177";"55.642520";"улица Скульптора Мухиной, дом 3";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.";"{type=Point, coordinates=[37.348177000026, 55.642520000167]}";
"223";"18.04.2016";"272437745";"Южный административный округ";"район Чертаново Центральное";"37.59224";"55.619411";"Чертановская улица, дом 30, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.592240000193, 55.619410999917]}";
"224";"18.04.2016";"272437746";"Южный административный округ";"район Чертаново Южное";"37.591943";"55.597149";"Академика Янгеля улица, дом 6";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.591943000092, 55.597148999959]}";
"225";"21.04.2016";"272437747";"Новомосковский административный округ";"поселение Кокошкино";"37.166672";"55.601452";"дачный посёлок Кокошкино, улица Ленина, дом 4";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.166671999815, 55.601452000161]}";
"226";"22.04.2016";"272437748";"Новомосковский административный округ";"поселение Филимонковское";"37.311166";"55.554685";"Деревня Староселье, дом 2";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.311165999791, 55.554684999762]}";
